Guido Andreozzi,Nicolas Kicker
Daniel Gimeno-Traver,Janko Tipsarevic
Alexander Sarkissian,Roberto Carballes Baena
Marco Cecchinato,Federico Gaio
Eduardo Struvay,Agustin Velotti
Caio Zampieri,Alejandro Falla
Andres Molteni,Roberto Carballes Baena
Ruben Ramirez Hidalgo,Alejandro Falla
Daniel Elahi Galan,Federico Gaio
Camilo Ponce,Agustin Velotti
Guilherme Clezar,Marco Cecchinato
Juan Pablo Paz,Alexander Sarkissian
Adrian Menendez-Maceiras,Eduardo Struvay
Andrea Collarini,Caio Zampieri
David Goffin,Grigor Dimitrov
Roberto Bautista Agut,David Goffin
Nikoloz Basilashvili,Grigor Dimitrov
Steve Darcis,David Goffin
Viktor Troicki,Grigor Dimitrov
Gilles Muller,Roberto Bautista Agut
Martin Klizan,Nikoloz Basilashvili
Dominic Thiem,Nikoloz Basilashvili
Radu Albot,David Goffin
Jerzy Janowicz,Grigor Dimitrov
Cedrik-Marcel Stebe,Roberto Bautista Agut
Mikhail Youzhny,Gilles Muller
Daniel Brands,Martin Klizan
Robin Haase,Viktor Troicki
Andreas Seppi,Steve Darcis
Mathias Bourgue,Gilles Muller
Andrey Kuznetsov,Martin Klizan
Cem Ilkel,Viktor Troicki
Alexandar Lazarov,Radu Albot
Adrian Mannarino,Nikoloz Basilashvili
Marco Chiudinelli,Daniel Brands
Maximilian Marterer,Steve Darcis
Dimitar Kuzmanov,Robin Haase
Dudi Sela,Jerzy Janowicz
Damir Dzumhur,Andreas Seppi
Teymuraz Gabashvili,Cedrik-Marcel Stebe
Marko Tepavac,Mikhail Youzhny
Teymuraz Gabashvili,Daniel Brands
Marko Tepavac,Maximilian Marterer
Filip Krajinovic,Mathias Bourgue
Miljan Zekic,Cedrik-Marcel Stebe
Daniel Masur,Teymuraz Gabashvili
Steven Diez,Cedrik-Marcel Stebe
Adrian Andreev,Maximilian Marterer
Alexandre Sidorenko,Mathias Bourgue
Hiroki Moriya,Filip Krajinovic
Stefanos Tsitsipas,Miljan Zekic
Sarp Agabigun,Marko Tepavac
Yannick Mertens,Daniel Brands
Kei Nishikori,Alexandr Dolgopolov
Carlos Berlocq,Kei Nishikori
Pablo Carreno Busta,Alexandr Dolgopolov
Joao Sousa,Kei Nishikori
Albert Ramos-Vinolas,Pablo Carreno Busta
Thiago Monteiro,Carlos Berlocq
Gerald Melzer,Alexandr Dolgopolov
Diego Schwartzman,Kei Nishikori
Pablo Cuevas,Alexandr Dolgopolov
David Ferrer,Carlos Berlocq
Alessandro Giannessi,Pablo Carreno Busta
Leonardo Mayer,Albert Ramos-Vinolas
Federico Delbonis,Joao Sousa
Guido Andreozzi,Gerald Melzer
Tommy Robredo,Thiago Monteiro
Guido Pella,Albert Ramos-Vinolas
Horacio Zeballos,Joao Sousa
Fabio Fognini,Tommy Robredo
Paolo Lorenzi,Gerald Melzer
Renzo Olivo,Guido Andreozzi
Jozef Kovalik,Carlos Berlocq
Stephane Robert,Federico Delbonis
Janko Tipsarevic,Alexandr Dolgopolov
Rogerio Dutra Silva,Alessandro Giannessi
Gastao Elias,Leonardo Mayer
Victor Estrella Burgos,Thiago Monteiro
Facundo Bagnis,Diego Schwartzman
Joao Souza,Rogerio Dutra Silva
Dusan Lajovic,Alessandro Giannessi
Ruben Ramirez Hidalgo,Jozef Kovalik
Maximo Gonzalez,Guido Andreozzi
Federico Coria,Rogerio Dutra Silva
Simone Bolelli,Dusan Lajovic
Andrej Martin,Jozef Kovalik
Nicolas Kicker,Maximo Gonzalez
Manuel Pena Lopez,Guido Andreozzi
Roberto Carballes Baena,Alessandro Giannessi
Marco Cecchinato,Joao Souza
Arthur De Greef,Ruben Ramirez Hidalgo
Nikoloz Basilashvili,Ryan Harrison
Mikhail Kukushkin,Nikoloz Basilashvili
Donald Young,Ryan Harrison
John Isner,Donald Young
Steve Johnson,Mikhail Kukushkin
Matthew Ebden,Nikoloz Basilashvili
Damir Dzumhur,Ryan Harrison
Ivo Karlovic,Nikoloz Basilashvili
Yoshihito Nishioka,John Isner
Sam Querrey,Ryan Harrison
Tim Smyczek,Steve Johnson
Steve Darcis,Damir Dzumhur
Taylor Fritz,Matthew Ebden
Darian King,Mikhail Kukushkin
Reilly Opelka,Donald Young
Bernard Tomic,Darian King
Adrian Mannarino,Donald Young
Radu Albot,Steve Darcis
Yen-Hsun Lu,Taylor Fritz
Jordan Thompson,Nikoloz Basilashvili
Kevin Anderson,Damir Dzumhur
Peter Polansky,Matthew Ebden
Konstantin Kravchuk,Ryan Harrison
Benjamin Becker,Mikhail Kukushkin
Guillermo Garcia-Lopez,Yoshihito Nishioka
Jared Donaldson,Reilly Opelka
Frances Tiafoe,Tim Smyczek
Matthew Barton,Peter Polansky
Benjamin Becker,Tim Smyczek
Tatsuma Ito,Darian King
Brian Baker,Matthew Ebden
Jeevan Nedunchezhiyan,Peter Polansky
Nikola Mektic,Benjamin Becker
Denis Kudla,Matthew Ebden
Andrew Watson,Darian King
Elias Ymer,Brian Baker
Scott Lipsky,Tim Smyczek
James McGee,Tatsuma Ito
Tommy Paul,Matthew Barton
David Goffin,Jo-Wilfried Tsonga
Pierre-Hugues Herbert,David Goffin
Tomas Berdych,Jo-Wilfried Tsonga
Marin Cilic,Jo-Wilfried Tsonga
Dominic Thiem,Pierre-Hugues Herbert
Grigor Dimitrov,David Goffin
Martin Klizan,Tomas Berdych
Borna Coric,Marin Cilic
Gilles Simon,Dominic Thiem
Robin Haase,David Goffin
Richard Gasquet,Tomas Berdych
Denis Istomin,Grigor Dimitrov
Gilles Muller,Jo-Wilfried Tsonga
Evgeny Donskoy,Pierre-Hugues Herbert
Philipp Kohlschreiber,Martin Klizan
Benoit Paire,Marin Cilic
Alexander Zverev,Dominic Thiem
Andrey Kuznetsov,David Goffin
Marius Copil,Tomas Berdych
Mischa Zverev,Grigor Dimitrov
Stefanos Tsitsipas,Jo-Wilfried Tsonga
Lucas Pouille,Philipp Kohlschreiber
Karen Khachanov,Borna Coric
Marcel Granollers,Evgeny Donskoy
Viktor Troicki,Richard Gasquet
Florian Mayer,Robin Haase
Feliciano Lopez,Pierre-Hugues Herbert
Aljaz Bedene,Denis Istomin
Fernando Verdasco,Martin Klizan
Tallon Griekspoor,Gilles Muller
Nicolas Mahut,Gilles Simon
Jan-Lennard Struff,Marius Copil
Denis Istomin,Aljaz Bedene
Botic Van de Zandschulp,Pierre-Hugues Herbert
Ernests Gulbis,Evgeny Donskoy
Albert Montanes,Jan-Lennard Struff
Mikhail Youzhny,Evgeny Donskoy
Ruben Bemelmans,Pierre-Hugues Herbert
Sergiy Stakhovsky,Ernests Gulbis
Niels Lootsma,Aljaz Bedene
Andrey Rublev,Botic Van de Zandschulp
Tobias Kamke,Marius Copil
Milos Raonic,Jack Sock
Juan Martin del Potro,Milos Raonic
Donald Young,Jack Sock
Kyle Edmund,Milos Raonic
Steve Johnson,Jack Sock
Sam Querrey,Juan Martin del Potro
Steve Darcis,Donald Young
Borna Coric,Milos Raonic
Guillermo Garcia-Lopez,Jack Sock
Jared Donaldson,Sam Querrey
Yoshihito Nishioka,Steve Johnson
Damir Dzumhur,Juan Martin del Potro
Yen-Hsun Lu,Kyle Edmund
Nikoloz Basilashvili,Steve Darcis
Taylor Fritz,Donald Young
Tim Smyczek,Milos Raonic
Ivo Karlovic,Donald Young
Radu Albot,Jack Sock
Dudi Sela,Sam Querrey
Stefan Kozlov,Steve Johnson
Bernard Tomic,Steve Darcis
Kevin Anderson,Juan Martin del Potro
Adrian Mannarino,Kyle Edmund
Tommy Haas,Nikoloz Basilashvili
Santiago Giraldo,Borna Coric
Mikhail Kukushkin,Jared Donaldson
Konstantin Kravchuk,Damir Dzumhur
Akira Santillan,Taylor Fritz
Dustin Brown,Guillermo Garcia-Lopez
Bjorn Fratangelo,Yen-Hsun Lu
Kimmer Coppejans,Yoshihito Nishioka
Darian King,Steve Darcis
Hyeon Chung,Kimmer Coppejans
Vasek Pospisil,Tim Smyczek
Benjamin Becker,Akira Santillan
Marcos Giron,Steve Darcis
Peter Nagy,Hyeon Chung
Boris Kozlov,Vasek Pospisil
Tobias Kamke,Akira Santillan
Rajeev Ram,Kimmer Coppejans
Peter Polansky,Tim Smyczek
Philip Bester,Benjamin Becker
Elias Ymer,Darian King
Lucas Pouille,Jo-Wilfried Tsonga
Nick Kyrgios,Jo-Wilfried Tsonga
Richard Gasquet,Lucas Pouille
Gael Monfils,Richard Gasquet
Gilles Simon,Jo-Wilfried Tsonga
Norbert Gombos,Nick Kyrgios
Daniil Medvedev,Lucas Pouille
Sergiy Stakhovsky,Gael Monfils
Illya Marchenko,Jo-Wilfried Tsonga
Malek Jaziri,Nick Kyrgios
Aljaz Bedene,Lucas Pouille
